Borough,Provider,Address,Contact Name,Phone,Email/Website
Brooklyn,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,
Brooklyn,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",77 Water Street Manhattan NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org
Brooklyn,Academy of Medical and Public Health Services,"5306 Third Avenue, 2nd Floor New York NY 11220",Mr. Hewett Chiu,(917) 690-0072,hewett.chiu@amphsonline.org
Brooklyn,"American Council of Minority Women, Inc.",1090 Coney Island Avenue Brooklyn NY 11230,Ms Bazah Roohi,(347) 865-2769,acmw.ny@gmail.com
Brooklyn,"Arab American Association of New York, Inc.",6803 5th Avenue Brooklyn NY 11220,Ms Marwa Janini,(551) 280-6724,marwa@arabamericanny.org
Brooklyn,"Apna Brooklyn Community Center, Inc.","1236 Neptune Avenue, 2nd Floor Brooklyn NY 11235",Ms Erum Hanif,(718) 513-4700,erum.hanif@apnabrooklyncommunity.com
Brooklyn,Bay Ridge Community Development Center Inc.,6806 5th Avenue Brookyn NY 11220,Ms Bibi Esahack,(347) 560-6700,info@brcdc.org
Brooklyn,Bergen Basin Community Development Corporation d/b/a Millennium Development,2331 Bergen Avenue Brooklyn NY 11234,Ms Nicholas Miller,(718) 444-0101,nmiller@milldev.org
Brooklyn,"Bnai Raphael Chesed Organization, Inc.",3846 Flatlands Ave. Flr 1 Brooklyn NY 11234,Mr. Raphael Hazan,(917) 861-7282,bnairaphael@yahoo.com
Brooklyn,Boro Park Jewish Community Council,1310 46th Street Brooklyn NY 11219,Rabbi Avi Greenstein,(718) 972-6600,agreenstein@bpjcc.org
Brooklyn,"Brooklyn Emerge, Inc.",1001 Newkirk Ave Brooklyn NY 11230,Mr. Salman Rehman,(929) 308-9191,salman@brooklynemerge.org
Brooklyn,"Camp Friendship, Inc.",339 8th Street Brooklyn NY 11215,Ms Soni Saluja,(646) 591-5635,soninder@gmail.com
Brooklyn,"Campaign Against Hunger, Inc., The",2010 Fulton Street Brooklyn NY 11233,Dr. Melony Samuels,(718) 773-3551,msamuels@tcahnyc.org
Brooklyn,"Center for Family Life in Sunset Park, Inc.",443 39th Street Brooklyn NY 11232,Ms Julia Jean-Francois,(718) 438-9500,j.jean-francois@centerforfamilylife.org
Brooklyn,"Catholic Charities Neighborhood Services, Inc.",191 Joralemon Street Brooklyn NY 11201,Reverend Alfred LoPinto,(718) 722-6087,LOPINTO@ccbq.org
Brooklyn,"Chinese American Social Services Center, Inc.",124 Avenue O Brooklyn NY 11204,Yan Shan Wu,(718) 975-0955,124cass@gmail.com
