Borough,Provider,Address,Contact Name,Phone,Email/Website,Latitude,longitude
Brooklyn,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,,,
Brooklyn,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",77 Water Street Manhattan NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org,40.7042035,-74.00824365
Brooklyn,Academy of Medical and Public Health Services,"5306 Third Avenue, 2nd Floor New York NY 11220",Mr. Hewett Chiu,(917) 690-0072,hewett.chiu@amphsonline.org,,
Brooklyn,"American Council of Minority Women, Inc.",1090 Coney Island Avenue Brooklyn NY 11230,Ms Bazah Roohi,(347) 865-2769,acmw.ny@gmail.com,40.6248523,-73.9651894
Brooklyn,"Arab American Association of New York, Inc.",6803 5th Avenue Brooklyn NY 11220,Ms Marwa Janini,(551) 280-6724,marwa@arabamericanny.org,40.6338739,-74.0204978
Brooklyn,"Apna Brooklyn Community Center, Inc.","1236 Neptune Avenue, 2nd Floor Brooklyn NY 11235",Ms Erum Hanif,(718) 513-4700,erum.hanif@apnabrooklyncommunity.com,,
Brooklyn,Bay Ridge Community Development Center Inc.,6806 5th Avenue Brookyn NY 11220,Ms Bibi Esahack,(347) 560-6700,info@brcdc.org,,
Brooklyn,Bergen Basin Community Development Corporation d/b/a Millennium Development,2331 Bergen Avenue Brooklyn NY 11234,Ms Nicholas Miller,(718) 444-0101,nmiller@milldev.org,40.6189116,-73.9000375
Brooklyn,"Bnai Raphael Chesed Organization, Inc.",3846 Flatlands Ave. Flr 1 Brooklyn NY 11234,Mr. Raphael Hazan,(917) 861-7282,bnairaphael@yahoo.com,,
Brooklyn,Boro Park Jewish Community Council,1310 46th Street Brooklyn NY 11219,Rabbi Avi Greenstein,(718) 972-6600,agreenstein@bpjcc.org,40.6326639,-73.9836759
Brooklyn,"Brooklyn Emerge, Inc.",1001 Newkirk Ave Brooklyn NY 11230,Mr. Salman Rehman,(929) 308-9191,salman@brooklynemerge.org,40.6354788,-73.9634294
Brooklyn,"Camp Friendship, Inc.",339 8th Street Brooklyn NY 11215,Ms Soni Saluja,(646) 591-5635,soninder@gmail.com,40.6690157,-73.9838049
Brooklyn,"Campaign Against Hunger, Inc., The",2010 Fulton Street Brooklyn NY 11233,Dr. Melony Samuels,(718) 773-3551,msamuels@tcahnyc.org,40.6784836,-73.91783237
Brooklyn,"Center for Family Life in Sunset Park, Inc.",443 39th Street Brooklyn NY 11232,Ms Julia Jean-Francois,(718) 438-9500,j.jean-francois@centerforfamilylife.org,40.65207345,-74.00477238
Brooklyn,"Catholic Charities Neighborhood Services, Inc.",191 Joralemon Street Brooklyn NY 11201,Reverend Alfred LoPinto,(718) 722-6087,LOPINTO@ccbq.org,40.69283285,-73.99175764
Brooklyn,"Chinese American Social Services Center, Inc.",124 Avenue O Brooklyn NY 11204,Yan Shan Wu,(718) 975-0955,124cass@gmail.com,40.6169179,-73.9218237
Brooklyn,"Collective Focus Resource Hub, Inc.",1046 Broadway Brooklyn NY 11221,Ms Briana Calderon,(941) 504-4411,info@collectivefocus.site,40.6848,-73.913798
Brooklyn,"Community Help in Park Slope, Inc.",200 Fourth Avenue Brooklyn NY 11217,"Ms. Sandra Hagan, LMSW",(718) 237-2962,sandy@chipsonline.org,,
Brooklyn,Cong Chasdei Lev,1573 39th Street Brooklyn NY 11218,Mr. Naftali Miller,(718) 831-2500,office@chasdeilev.org,40.6429547,-73.99015
Brooklyn,"Council of Jewish Organizations of Flatbush, Inc.","1523 Avenue M, 3rd Floor Brooklyn NY 11230",Mr. Louis Welz,(718) 377-2900,lwelz@jewishcouncil.org,,
Brooklyn,"Council of Peoples Organization, Inc.",1081 Coney Island Avenue Brooklyn NY 11230,Mr. Mohammad Razvi,(718) 434-3266,mrazvi@copo.org,40.6312217,-73.96618452
Brooklyn,"Crown Heights Jewish Community Council, Inc.",392 Kingston Ave Brooklyn NY 11225,Mr. Eli Cohen,(718) 771-9000,ecohen@chjcc.org,40.6652577,-73.94282223
Brooklyn,Crown Heights Preservation Committee Corporation,483 Albany Avenue Brooklyn NY 11203,Rabbi Shimon Herz,(718) 774-9213,sherz@chjcc.org,40.66340535,-73.93966797
Brooklyn,"Elite Learners, Inc.",45 Belmont Ave. Brooklyn NY 11212,Ms Camara Jackson,(347) 742-7913,cjackson@elitelearners.org,40.66888285,-73.90878445
Brooklyn,"Family Services Network of New York, Inc.",1420 Bushwick Avenue Brooklyn NY 11207,Dr. Benjamin Igwe,(718) 455-6010,bigwe@fsnny.org,40.6840366,-73.9089524
Brooklyn,"Grandma's Love, Inc.",261 68th Street Brooklyn NY 11220,Ms Theresa Monforte-Caraballo,(347) 662-6230,Theresa@grandmasloveinc.org,40.63704855,-74.02641809
Brooklyn,Grant House Unity Corp.,2049 Flatbush Avenue Brooklyn NY 11234,Mr. Ben DiCostanzo,(718) 266-9700,granthouseunity@gmail.com,40.6528426,-73.959309
Brooklyn,Hebrew Educational Society,9502 Seaview Avenue Brooklyn NY 11236,Ms Moshit Rivkin,(718) 241-3000,Moshit@thehes.org,40.6324982,-73.89066667
Brooklyn,"IGUD Harabonim of America, Inc.","11 Sunrise Plaza, Suite 305 Brooklyn NY 11580",Rabbi Moshe Schmerler,(833) 722-4483,rabbi@igud.org,,
Brooklyn,"Institute for Community Equity and Sharing, Inc.",13 Greene Avenue Brooklyn NY 11238,Mr. Jed Marcus,(347) 351-4242,marcus@onecommunitynyc.org,40.68606145,-73.9728186
Brooklyn,"Jewish Community Council of Canarsie, Inc.","1170 Pennsylvania Avenue, Suite 1B Brooklyn NY 11239",Mr. Avrohom Hecht,(718) 495-6210,projectlead09@gmail.com,,
Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",3001 West 37th Street Brooklyn NY 11224,Rabbi Moshe Wiener,(718) 449-5000,m.wiener@jccgci.org,40.57274415,-74.00219193
Brooklyn,"Kings Bay YM-YWHA, Inc.",3495 Nostrand Avenue Brooklyn NY 11229,Mr. Leonard Petlakh,(718) 648-7703,lpetlakh@kingsbayy.org,40.5989713,-73.94124252
Brooklyn,Make the Road New York,301 Grove St. Brooklyn NY 11237,Mr. Derik Mendez,866-365-2724 Ext 4,Derik.Mendez@maketheroadny.org,40.698458,-73.915865
Brooklyn,Masbia of Boro Park,5402 New Utrecht Ave Brooklyn NY 11219,Mr. Alexander Rapaport,(718) 972-4446,alex@masbia.org,40.6323383,-73.995454
Brooklyn,Masbia of Flatbush,1372 Coney Island Brooklyn NY 11230,Mr. Alexander Rapaport,(718) 972-4446,alex@masbia.org,40.5765081,-73.9929419
Brooklyn,"Mixteca Organization, Inc.","245 23rd Street, 2nd floor Brooklyn NY 11215",Ms Lorena Kourousias,(718) 896-5479,lkouousias@mixteca.org,,
Brooklyn,"Muna Social Services, Inc.",464 Crescent Street Brooklyn NY 11208,Dr. Jahangir Kabir,(516) 864-5078,jkabir@munassinc.org,40.67663395,-73.87053317
Brooklyn,"New York United Jewish Association, Inc.",2076 Flatbush Avenue Brooklyn NY 11234,Mr. Michael Rinkoff,(718) 407-1832,mendy@jccmp.org,40.61905795,-73.93337167
Brooklyn,Trinity Human Services Corporation,153 A Johnson Avenue Brooklyn NY 11206,Miss Victoria Kamungu,(718) 388-3176,victoriasfmatrinity@gmail.com,40.706488,-73.9442851
Brooklyn,"Pakistani American Youth Organization, Inc.",1045 Coney Island Avenue Brooklyn NY 11230,Mr. Waqil Ahmed,(718) 713-2000,info@payousa.org,40.632187,-73.9665339
Brooklyn,Pakistani American Youth Society,1001 Newkirk Avenue Brooklyn NY 11230,Mr. Kashif Hussain,(646) 262-4551,payouthsociety@gmail.com,40.6354788,-73.9634294
Brooklyn,"People In Need, Inc.",944 Newkirk Avenue Brooklyn NY 11230,Mrs. NOWSHIN ALI,(917) 615-8206,peopleinneednyc@gmail.com,40.6335233,-73.967415
Brooklyn,"SBH Community Service Network, Inc.",425 Kings Hwy Brooklyn NY 11223-1629,Mr. Andrey Oliskevich,(718) 787-1100,Andrey@sbhonline.org,40.60474735,-73.97491847
Brooklyn,Seeds in the Middle,153 Warren Street Brooklyn NY 11201,Ms Nancie Katz,(917) 697-3745,nancie@seedsinthemiddle.org,40.68798835,-73.99703415
Brooklyn,"Southside Community Mission, Inc.",280 Marcy Avenue Brooklyn NY 11211,Ms Gertrudis Duran,(718) 782-8181,250hooperst@gmail.com,40.711752,-73.955797
Brooklyn,Southside United Housing Development Fund Corporation,434 S 5th St Brooklyn NY 11211,Mr. Juan Ramos,(718) 387-3600,jramos@lossures.org,40.7068934,-73.95170768
Brooklyn,Trinity Human Services Corporation,153 A Johnson Avenue Brooklyn NY 11206,Miss Victoria Kamungu,(718) 388-3176,victoriasfmatrinity@gmail.com,40.706488,-73.9442851
Brooklyn,"United Jewish Organizations of Williamsburg, Inc.",32 Penn Street Brooklyn NY 11249,Mr. David Katz,(718) 643-9700,dkatz@unitedjewish.org,40.7001722,-73.96099085
Brooklyn,Vinegar Hill Food Pantry,228 York St. Brooklyn NY 11201,Ms Jennifer Macksoud,(908) 403-5755,vinegarhillfoodpantry@gmail.com,40.7006788,-73.9813917
Brooklyn,Women’s Empowerment Coalition of New York City,1437 77th Street Brooklyn NY 11209,Ms Somia El-Rowmeim,(347) 666-7722,somia@wecnyc.org,40.6313364,-74.0339078
Bronx,Food Bank For New York City,39 Broadway - 10th Floor New York NY 10006,www.foodbanknyc.org,,,,
Bronx,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",77 Water Street Manhattan NY 10005,Mr. Aaron Cyperstein,(212) 453-9511,acyperstein@metcouncil.org,40.7042035,-74.00824365
Bronx,Albanian & American Open Hand Association,"2141 Holland Avenue, Suite ML Bronx NY 10462",Mr. Aleksander Nilaj,(347) 658-8000,aaoha.org@gmail.com,,
Bronx,"BronxWorks, Inc.",60 East Tremont Avenue Bronx NY 10453,Ms Eileen Torres,(646) 393-4023,etorres@bronxworks.org,40.8508989,-73.908113
