Organization,Branch,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
Allied Service Center NYC,Queens Opioid Treatment Clinic Otp 3,2036 Amsterdam Avenue,,NEW YORK,10032,212-645-0875,,40.8352691,-73.94029305,,,1,1,,1,1,,,1,,,1,,,,,,
Beth Israel Medical Center,Ny Center Addiction Treatment Op 1,25 12th Street,,BROOKLYN,11215,718-965-7900,,40.67183494,-73.99706919,1,1,,1,,,,,,,,,1,,,,,,
New York Center Addiction Treatment,Bleuler Cd Recovery Services Op,37-20 74Th Street,,QUEENS,11372,212-966-9537,http://nycats.net/,40.74827786,-73.89172079,1,,1,1,,1,,,,,,,1,,,,,,
"Bleuler Psychotherapy Center, Inc.",Bleuler Cd Recovery Services Op,104-70 Queens Boulevard,,QUEENS,11375,718-275-6010,,40.72336959,-73.84829544,,1,1,1,,1,,,,,,1,1,1,1,,,,
"Safe Space NYC, Inc.",Family Life Clinic,133-25 Guy R. Brewer Boulevard,,QUEENS,11434,718-206-3440,,40.67376872,-73.77595052,,,1,1,,1,,,,,,1,1,1,,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,67-09 108th Street,,QUEENS,11375,718-224-0566,,40.72870149,-73.84741377,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,208-11 26th Avenue,,QUEENS,11360,718-224-0566,,40.77638032,-73.78379773,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,92-33 170th Street,,QUEENS,11433,718-657-6540,,40.706193,-73.7891362,1,1,,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",Service Program for Older People PROS,188 W. 88th Street,,NEW YORK,10024,212-787-7120,http://www.spop.org/,40.7887173,-73.9734392,1,1,1,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,225 E. 93rd Street,,NEW YORK,10128,212-787-7120,http://www.spop.org/,40.78296479,-73.95001368,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,465 Grand Street,,NEW YORK,10012,212-787-7120,http://www.spop.org/,40.71513259,-73.98403061,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,331 E. 12th Street,,NEW YORK,10003,212-787-7120,http://www.spop.org/,40.73065708,-73.98504077,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,72 Columbia Street,,NEW YORK,10002,212-787-7120,http://www.spop.org/,40.71700668,-73.98026767,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,1484 1st Avenue,,NEW YORK,10075,212-787-7120,http://www.spop.org/,40.77124347,-73.95347754,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,312 E. 109th Street,,NEW YORK,10029,212-787-7120,http://www.spop.org/,40.79230607,-73.94047965,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,415 East 93rd Street,,NEW YORK,10128,212-787-7120,http://www.spop.org/,40.78090401,-73.94511171,1,1,,,,1,,,,,,,,,1,,,,
South Beach Psychiatric Center,Heights Hill Clinic,25 Flatbush Avenue,,BROOKLYN,11217,718-875-1420,https://www.omh.ny.gov/omhweb/facilities/sbpc/employment.htm,40.68795882,-73.98026906,,1,1,1,,1,1,,,,,,1,1,,,,,
South Beach Psychiatric Center,Mapleton Clinic,1083 Mcdonald Avenue,,BROOKLYN,11230,718-421-7444,https://www.omh.ny.gov/omhweb/facilities/sbpc/employment.htm,40.62685379,-73.97640723,,1,1,1,,1,,,,,,,1,1,1,,,,
St. Luke's-Roosevelt Hospital center,SRL Department Of Psychiatry And Behavioral Health,347 West 37th street,,NEW YORK,10018,212-523-6676,,40.75467443,-73.99343448,1,1,,,1,,,,,,,,1,1,1,,,,
Goddard-Riverside Community Center,The Other Place,264 West 87th Street,,NEW YORK,10024,212-799-7171,http://www.goddard.org/,40.78919006,-73.97651582,,1,,1,,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",PAL Queens Peer Advocacy,33-24 Northern Boulevard,2nd Floor,QUEENS,11101,347-649-3850,,40.75200211,-73.93031948,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Brooklyn Assisted Competitive Employment ( BACE),2559 West 13th Street,,BROOKLYN,11223,718-372-0371,http://www.goodwillnynj.org/,40.58549349,-73.98209227,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Bronx Assisted Competitive Employment,384 East 149th Street,6th Floor Room 622,BRONX,10455,718-401-2555,http://www.goodwillnynj.org/,40.81624301,-73.91836265,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",CitiView Psychosocial Clubhouse,33-24A Northern Boulevard,3rd Floor,QUEENS,11101,718-361-7030,http://www.goodwillnynj.org/,40.75200211,-73.93031948,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Seamark Center Clubhouse,2559 West 13th Street,,BROOKLYN,11223,718-372-0450,http://www.goodwillnynj.org/,40.58549349,-73.98209227,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Latern House,512 Southern Boulevard,,BRONX,10455,718-993-1078,,40.81153108,-73.90500941,,1,,,1,,,,,,,,1,1,1,,,,
"Heights Hill Mental Health Service Community Advisory Board, Inc.","Rainbow Heights Club, Advocacy Services",25 Flatbush Avenue,3rd Floor,BROOKLYN,11217,718-852-5212,,40.68795882,-73.98026906,,1,,,1,,1,,,,,,1,1,1,,,,
