,Facility Name,Location Type,Operator,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Address
0,Passerelle Building,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.751662,-73.843252,"Queens County, New York, United States"
1,The High Line Zone 1,Park,NYC Parks,Year Round,,,,,,,40.743643,-74.006873,"The High Line, West 29th Street, Chelsea, Manhattan, New York County, New York, 10001, United States"
2,Corporal Thompson Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.638516,-74.117934,"123, Broadway, West New Brighton, Staten Island, Richmond County, New York, 10310, United States"
3,"Bushwick Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/bushwick,40.704567,-73.93962,"Bushwick Branch Brooklyn Public Library, 340, Bushwick Avenue, Brooklyn, Kings County, New York, 11206, United States"
4,Rienzi Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.887635,-73.858784,"Public School 21 Philip H Sheridan, 715, East 225th Street, Bronx County, The Bronx, New York, 10466, United States"
5,55 East 52nd Street POPS,Privately Owned Public Space,Park Avenue Plaza Owner LLC,Year Round,Everyday 8:00 am-10:00 pm,Partially Accessible,Single-Stall All Gender Restroom(s),No,,,40.759132,-73.973672,"Park Avenue Plaza, 55, East 52nd Street, Manhattan Community Board 5, Manhattan, New York County, New York, 10055, United States"
6,"Ottendorfer Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/ottendorfer,40.728915,-73.987744,"Ottendorfer Library, 135, 2nd Avenue, Manhattan Community Board 3, Manhattan, New York County, New York, 10003, United States"
7,South Beach Zone 2,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.588862,-74.066755,"Franklin D Roosevelt Boardwalk, Quintard Street, Old Town Station, Staten Island, Richmond County, New York, 10305, United States"
8,Grand Central (Metro North) LIRR Restroom,Transit,LIRR-MNR,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",,,,MTA station with bathrooms located outside of fare gates and open to the wider public,https://new.mta.info/agency/new-york-city-transit/bathrooms,40.751816,-73.976715,"Grand Hyatt New York, 109, East 42nd Street, Manhattan Community Board 5, Manhattan, New York County, New York, 10017, United States"
9,St. Catherine's Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.76531,-73.958579,"351, East 68th Street, Manhattan Community Board 8, Manhattan, New York County, New York, 10065, United States"
10,Fort Greene Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.692339,-73.977224,"Fort Greene, Kings County, New York, United States"
11,Major Deegan So. Gas Station,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.894936,-73.88258,"171, Major Deegan Expressway, Bronx County, The Bronx, New York, 10471, United States"
12,Haffen Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.873542,-73.839305,"3100, Gunther Avenue, Bronx County, The Bronx, New York, 10469, United States"
13,Equity Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.691385,-73.853623,"88-05, 90th Street, Woodhaven, Queens, New York, 11421, United States"
14,,,,,,,,,,,,,
15,"Stapleton Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/stapleton,40.626265,-74.077865,"Stapleton Library, 132, Canal Street, Stapleton, Staten Island, Richmond County, New York, 10304, United States"
16,"Brower Park Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/brower-park,40.675379,-73.948568,"725, Saint Marks Avenue, Eastern Parkway, Brooklyn, Kings County, New York, 11216, United States"
17,Carmansville Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.829156,-73.944308,"Carmansville Playground, West 152nd Street, Manhattan Community Board 9, Manhattan, New York County, New York, 10039, United States"
18,South Beach Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592406,-74.063578,"160, Father Capodanno Boulevard, South Beach, Staten Island, Richmond County, New York, 10305, United States"
19,825 Eighth Avenue POPS,Privately Owned Public Space,"George Comfort and Sons, Inc.",Year Round,Everyday 6:00 am-9:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,,,40.762238,-73.986944,"One Worldwide Plaza, 8th Avenue, Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10019, United States"
20,Brevoort Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.680681,-73.922699,"Ralph Avenue & Chauncey Street, Ralph Avenue, Brooklyn, Kings County, New York, 11233, United States"
21,"Arlington Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/arlington,40.680698,-73.887239,"Brooklyn Public Library, 203, Arlington Avenue, Cypress Hills, Brooklyn, Kings County, New York, 11207, United States"
22,Rockaway Beach 04c,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.587522,-73.795711,"Boardwalk, The Tides, Queens, New York, 12692, United States"
23,"Forest Hills Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/forest-hills,40.722155,-73.843016,"Queens Borough Public Library - Forest Hills, 108-19, 71st Avenue, Forest Hills, Queens, New York, 11375, United States"
24,Margaret I. Carman Green - Weeping Beech,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.763499,-73.824741,"36-29, Bowne Street, Flushing Chinatown, Queens, New York, 11354, United States"
25,Nicholas Naquan Heyward Jr. Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.684691,-73.987809,"159, Wyckoff Street, Gowanus, Brooklyn, Kings County, New York, 11217, United States"
26,"Brooklyn Central Library, BPL",Library,BPL,Year Round,"Monday	9 am - 8 pm
Tuesday	9 am - 8 pm
Wednesday	9 am - 8 pm
Thursday	9 am - 8 pm
Friday	9 am - 6 pm
Saturday	9 am - 6 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/central,40.672352,-73.968226,"Brooklyn Public Library, 10, Grand Army Plaza, Prospect Heights, Brooklyn, Kings County, New York, 11238, United States"
27,Aqueduct Walk Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.858411,-73.907994,"2230, Old Croton Aqueduct Walk, University Heights, Bronx County, The Bronx, New York, 10453, United States"
28,,,,,,,,,,,,,
29,Maurice A. FitzGerald Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.690257,-73.839503,"93-41, 106th Street, Queens, New York, 11416, United States"
30,,,,,,,,,,,,,
31,Allerton Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.865665,-73.850539,"1256, Allerton Avenue, Bronx County, The Bronx, New York, 10469, United States"
32,General Hart Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.748786,-73.897234,"Broadway, Woodside, Queens County, New York, 11373, United States"
33,East Parade Grounds,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.651895,-73.965719,"Detective Dillon Stewart Playground, Crooke Avenue, Flatbush, Brooklyn, Kings County, New York, 11226, United States"
34,Augustus St. Gaudens Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.735641,-73.982059,"304, East 20th Street, Manhattan Community Board 6, Manhattan, New York County, New York, 10003, United States"
35,"Richmond Hill Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/richmond-hill,40.700806,-73.831644,"Richmond Hill Branch Queens Borough Public Library, 118-14, Hillside Avenue, Richmond Hill, Queens, New York, 11418, United States"
36,Shore Road Park Zone 5,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.616198,-74.039478,"Shore Road Field House, 7420, Shore Road, Fort Hamilton, Brooklyn, Kings County, New York, 11209, United States"
37,Maple Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.755964,-73.826086,"136-50, Maple Avenue, Flushing Chinatown, Queens, New York, 11355, United States"
38,Ampere Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.681435,-73.85678,"82-06, 101st Avenue, Ozone Park, Queens, New York, 11416, United States"
39,Abe Stark,Park,NYC Parks Concessionaire,Seasonal,Concession Operating Hours,,,,,,40.573053,-73.985895,"Abe Stark Skating Arena, 1902, Surf Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States"
40,,,,,,,,,,,,,
41,Grove Hill Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.819936,-73.908532,"786, Cauldwell Avenue, Melrose, Bronx County, The Bronx, New York, 10456, United States"
42,,,,,,,,,,,,,
43,Hudson River Park Pier 84,Park,Hudson River Park,Year Round,9:30am - 10pm,Fully Accessible,,,,,40.763121,-74.000654,"P.D. O'Hurley's, 557, 12th Avenue, Clinton, Hell's Kitchen, Manhattan, New York County, New York, 10036, United States"
44,Galapo Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.5979,-73.946754,"2412, Avenue V, Sheepshead Bay, Brooklyn, Kings County, New York, 11229, United States"
45,Pink Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.666498,-73.862512,"Pink Playground, Eldert Lane, Brooklyn, Kings County, New York, 11208, United States"
46,"Center for Brooklyn History, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	10 am - 6 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 6 pm
Friday	10 am - 6 pm
Saturday	10 am - 4 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/center-for-brooklyn-history,40.694811,-73.992406,"Center for Brooklyn History, 128, Pierrepont Street, Brooklyn, Kings County, New York, 11201, United States"
47,Bryant Park,Park,Bryant Park Corporation,Year Round,8am-10pm,,Multi-Stall W/M Restrooms,,,,40.754039,-73.982655,"5th Avenue (7), West 42nd Street, Manhattan Community Board 5, Manhattan, New York County, New York, 10036, United States"
48,,,,,,,,,,,,,
49,Rosewood Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.872979,-73.871143,"Bronx River Greenway, Williams Bridge, Bronx County, The Bronx, New York, 10467, United States"
50,"City Island Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 6:00 pm
Wednesday: 11:00 am - 6:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/city-island,40.8477,-73.786368,"City Island Library, 320, City Island Avenue, City Island, Bronx County, The Bronx, New York, 10464, United States"
51,MacNeil Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.793522,-73.851378,"Poppenhusen Avenue & 119th Street, Poppenhusen Avenue, College Point, Queens, New York, 11356, United States"
52,Vidalia Park,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.844079,-73.881429,"938, East 180th Street, Lambert Houses, Bronx County, The Bronx, New York, 10460, United States"
53,Albert J. Parham Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.690233,-73.970509,"Public School 20, Adelphi Street, Brooklyn, Kings County, New York, 11238, United States"
54,Hester St Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.716728,-73.994082,"102, Hester Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States"
55,"Mosholu Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/mosholu,40.874388,-73.878386,"Mosholu Library, 285, East 205th Street, Norwood, Bronx County, The Bronx, New York, 10467, United States"
56,Astoria Park Zone 1,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.77593,-73.925181,"Astoria Park South, Astoria, Queens County, New York, 11105, United States"
57,St. Nicholas Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.813711,-73.950928,"41, Saint Nicholas Terrace, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States"
58,Virginia Principe Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.727226,-73.904336,"Queens-Midtown Expressway, Maspeth, Queens County, New York, 11378, United States"
59,Walker Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.643726,-74.108829,"Walker Park Recreation Building, Delafield Place, Staten Island, Richmond County, New York, 10310, United States"
60,Oracle Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.693786,-73.971605,"Oracle Playground, Adelphi Street, Brooklyn, Kings County, New York, 11238, United States"
61,McGuire Fields,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.618582,-73.898792,"2333, Bergen Avenue, Bergen Beach, Brooklyn, Kings County, New York, 11234, United States"
62,Louis Armstrong Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.754938,-73.855156,"Public School 143 - Louis Armstrong, 113th Street, Queens, New York, 11368, United States"
63,Lopez Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.61127,-74.085,"209, Oder Avenue, Concord, Staten Island, Richmond County, New York, 10304, United States"
64,"Grand Concourse Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/grand-concourse,40.84401,-73.910089,"Grand Concourse Library, 155, East 173rd Street, Tremont, Bronx County, The Bronx, New York, 10457, United States"
65,Claremont Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.841506,-73.906836,"Mount Eden Parkway, Bronx County, The Bronx, New York, 10457, United States"
66,East River Park Zone 5,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.721796,-73.974048,"East River Park Track Comfort Station, FDR Drive, East Village, Manhattan, New York County, New York, 10009, United States"
67,Hunts Point Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.814277,-73.88589,"Hunts Point Avenue, Hunts Point, Bronx County, The Bronx, New York, 10474, United States"
